operator_name,total_versions,latest_version,openshift_versions,last_update,has_ci_yaml,has_makefile,error
abinitio-runtime-operator,4,v4.3.3-1,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.8,v4.9",2025-03-05T17:24:35,True,False,
acc-operator,21,24.2.2,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.6,v4.7,v4.8,v4.9",2024-05-30T00:18:07,True,False,
accuknox-operator-certified,3,0.7.1,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.9",2024-08-29T18:35:38,True,False,
aci-containers-operator,11,v1.0.10,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2025-04-11T03:43:40,True,False,
ads-operator,4,v22.6.0-4,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.7,v4.8,v4.9",2022-06-16T19:11:31,True,False,
aerospike-kubernetes-operator,0,,,2021-09-28T16:10:20,True,False,
aic-operator,3,v0.2.0,"v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18",2025-05-21T21:56:30,True,False,
aikit-operator,6,2024.1.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.7,v4.8,v4.9",2024-05-21T12:57:56,True,False,
airlock-microgateway,7,4.6.1,"v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-06-13T21:08:25,True,False,
aiu-operator,6,v2.4.1,"v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-06-02T10:33:15,True,False,
akka-cluster-operator-certified,0,,,2021-09-28T16:10:20,True,False,
ako-operator,13,1.12.3,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2025-05-30T18:09:55,True,True,
alcide-kaudit-operator,0,,,2021-09-28T16:10:20,True,False,
alloy,4,1.0.4,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.9",2023-06-19T12:13:30,True,False,
amcop-operator,1,1.0.0,"v4.6,v4.7,v4.8",2021-11-30T07:09:15,True,False,
amd-gpu-operator,2,v1.2.1,"v4.16,v4.17,v4.18",2025-05-20T09:02:54,True,True,
anaconda-team-edition,0,,,2021-09-28T16:10:20,True,False,
anchore-engine,0,,,2021-09-28T16:10:20,True,False,
anjuna-operator,1,v2.0.0,"v4.14,v4.15,v4.16,v4.17",2025-02-19T04:58:14,True,False,
antrea-operator-for-kubernetes,10,v1.14.1,"v4.10,v4.11,v4.12,v4.9",2023-12-06T11:01:16,True,False,
